"","ENCUESTADORA/COMISIONADO","ENCUESTADORA/PUBLICA","TRABAJO CAMPO","MUESTRA","PARTICIPACIÓN","PP","PSdeG-PSOE","EC","BNG","Vox","Cs","VENTAJA"
"2","Sondaxe/La Voz de Galicia","<a href= https://www.lavozdegalicia.es/noticia/espana/2020/10/11/bngarrebataria-escano-psoe-pontevedra-generales/00031602418402475140565.htm target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sondaxe/La Voz de Galicia </a>","1-7 Oct 2020","1223","","33.9","28.2","10.3","12.3","","","5.7"
"4","Sondaxe/La Voz de Galicia","<a href= https://www.lavozdegalicia.es/noticia/espana/2020/01/25/opinion-sobre-gobierno-divide-gallegos-dos-bloques-empatados/0003_202001G25P16991.htm target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sondaxe/La Voz de Galicia </a>","15-22 Jan 2020","1223","","32.0","30.2","12.6","9.6","7.6","3.1","1.8"
