"","ENCUESTADORA/COMISIONADO","ENCUESTADORA/PUBLICA","TRABAJO CAMPO","MUESTRA","PARTICIPACION","PRC","PP","PSOE","Cs","Vox","Podemos","IU","UP","VENTAJA"
"2","ElectoPanel/Electomania","<a href= https://electomania.es/ep-17my-cantabria/ target=""_blank"" rel=""noreferrer nofollow""> ElectoPanel/Electomania </a>","1 Apr-15 May 2020","","","32.5","30.0","18.6","5.0","5.9","3.5","1.4","","2.5"
"3","SyM Consulting","<a href= https://twitter.com/Barometrocm/status/1260979715189411842 target=""_blank"" rel=""noreferrer nofollow""> SyM Consulting </a>","6-8 May 2020","807","67.6","37.9","21.2","20.4","4.3","6.8","5.5","1.5","","16.7"
"4","SW Demoscopia","<a href= https://www.eldiario.es/cantabria/politica/PRC-Miguel-Angel-Revilla-candidato_0_996000702.html target=""_blank"" rel=""noreferrer nofollow""> SW Demoscopia </a>","30 Jan-7 Feb 2020","800","","32.5","22.4","22.5","3.9","8.6","","","7.1","10.0"
