"","ENCUESTADORA/COMISIONADO","ENCUESTADORA/PUBLICA","TRABAJO CAMPO","MUESTRA","PARTICIPACION","ERC-Sobiranistes","PSC","ECP","JxCat","PP","CUP","Vox","Cs","VENTAJA"
"2","GESOP/CEO","<a href= http://upceo.ceo.gencat.cat/wsceop/7688/Dossier%20de%20premsa%20-974.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> GESOP/CEO </a>","25 Jun-21 Jul 2020","2000","68","22.1","21.5","14.3","13.4","7.8","5.9","6.6","5.0","0.6"
"3","GESOP/CEO","<a href= http://upceo.ceo.gencat.cat/wsceop/7548/Dossier%20de%20premsa%20-962.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> GESOP/CEO </a>","10 Feb-9 Mar 2020","2000","68","22.9","21.7","14.6","12.7","8.6","5.8","6.8","3.3","1.2"
"4","GESOP/CEO","<a href= http://upceo.ceo.gencat.cat/wsceop/7408/Dossier%20de%20premsa%20-954.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> GESOP/CEO </a>","14 Nov-5 Dec 2019","1500","68","23.2","19.6","14.3","13.8","8.1","7.2","6.8","3.7","3.6"
