"","ENCUESTADORA/COMISIONADO","ENCUESTADORA/PUBLICA","TRABAJO CAMPO","MUESTRA","PARTICIPACIÓN","PSOE","PP","Cs","Vox","Podemos","IUCyL","UPL","XAV","UP","VENTAJA"
"2","ElectoPanel/Electomanía","<a href= https://electomania.es/ep15s20autonomicas/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","1 Apr-15 May 2020","","","36.2","38.2","7.9","6.0","4.7","0.8","2.3","0.7","","2.0"
"3","Sigma Dos/RTVCyL","<a href= https://www.rtvcyl.es/noticia/39DE5345-C0E7-E91C-845CEF006963014A/20200527 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/RTVCyL </a>","14-19 May 2020","1200","","33.4","36.6","7.2","10.5","","","","","6.9","3.2"
"4","ElectoPanel/Electomanía","<a href= https://electomania.es/ep-17my-castillayleon/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","1 Apr-15 May 2020","","","34.5","38.8","7.5","7.1","4.4","1.5","2.1","0.5","","3.3"
